Loss: 0.3287906348705292: 100%|███████████████████| 8/8 [00:00<00:00, 67.47it/s]
Loss: 0.053168945014476776: 100%|█████████████████| 8/8 [00:00<00:00, 62.11it/s]
Loss: 0.040964964777231216: 100%|█████████████████| 8/8 [00:00<00:00, 61.63it/s]
Loss: -0.012012328952550888: 100%|████████████████| 8/8 [00:00<00:00, 66.43it/s]
Loss: -0.03796014562249184: 100%|█████████████████| 8/8 [00:00<00:00, 65.36it/s]
Loss: -0.06641778349876404: 100%|█████████████████| 8/8 [00:00<00:00, 65.67it/s]
Loss: -0.08616528660058975: 100%|█████████████████| 8/8 [00:00<00:00, 64.45it/s]
Loss: -0.08984692394733429: 100%|█████████████████| 8/8 [00:00<00:00, 67.27it/s]
Loss: -0.12442993372678757: 100%|█████████████████| 8/8 [00:00<00:00, 69.09it/s]
Loss: -0.12719042599201202: 100%|█████████████████| 8/8 [00:00<00:00, 69.48it/s]
